#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,DEL CEP,000-BCQ-471,2453281.5444,4.13,,False,Unknown,CCD,OCE,,
2,DEL CEP,000-BCQ-471,2453284.4819,3.55,,False,Unknown,CCD,OCE,,
3,DELTA CEP,000-BCQ-471,2454610.390,3.13,0.1,False,Unfiltered with V Zeropoint,CCD,LTO,,False
4,DEL CEP,000-BCQ-471,2455124.62192,3.410,0.054,False,Cousins I,CCD,HQA,1.000,True
5,DEL CEP,000-BCQ-471,2455124.62192,5.116,0.024,False,Johnson B,CCD,HQA,1.000,True
6,DEL CEP,000-BCQ-471,2455124.62192,3.836,0.039,False,Cousins R,CCD,HQA,1.000,True
7,DEL CEP,000-BCQ-471,2455124.62192,4.245,0.023,False,Johnson V,CCD,HQA,1.000,True
8,DEL CEP,000-BCQ-471,2455124.77752,4.224,0.010,False,Johnson V,CCD,HQA,1.000,True
9,DEL CEP,000-BCQ-471,2455124.77752,5.050,0.033,False,Johnson B,CCD,HQA,1.000,True
10,DEL CEP,000-BCQ-471,2455124.77752,3.375,0.050,False,Cousins I,CCD,HQA,1.000,True
11,DEL CEP,000-BCQ-471,2455124.77752,3.834,0.016,False,Cousins R,CCD,HQA,1.000,True
12,DELTA CEP,000-BCQ-471,2455126.314,3.43,0.01,False,Tri-Color Green,CCD,VOL,,False
13,DEL CEP,000-BCQ-471,2455127.67140,4.784,0.067,False,Johnson B,CCD,HQA,1.000,True
14,DEL CEP,000-BCQ-471,2455127.67140,3.626,0.016,False,Cousins R,CCD,HQA,1.000,True
15,DEL CEP,000-BCQ-471,2455127.67140,3.211,0.020,False,Cousins I,CCD,HQA,1.000,True
16,DEL CEP,000-BCQ-471,2455127.67140,4.009,0.001,False,Johnson V,CCD,HQA,1.000,True
17,DEL CEP,000-BCQ-471,2455127.71975,3.657,0.029,False,Cousins R,CCD,HQA,1.000,True
18,DEL CEP,000-BCQ-471,2455127.71975,4.772,0.024,False,Johnson B,CCD,HQA,1.000,True
19,DEL CEP,000-BCQ-471,2455127.71975,3.172,0.033,False,Cousins I,CCD,HQA,1.000,True
20,DEL CEP,000-BCQ-471,2455127.71975,4.015,0.021,False,Johnson V,CCD,HQA,1.000,True
21,DEL CEP,000-BCQ-471,2455127.82705,4.823,0.032,False,Johnson B,CCD,HQA,1.000,True
22,DEL CEP,000-BCQ-471,2455127.82705,4.046,0.022,False,Johnson V,CCD,HQA,1.000,True
23,DEL CEP,000-BCQ-471,2455127.82705,3.678,0.047,False,Cousins R,CCD,HQA,1.000,True
24,DEL CEP,000-BCQ-471,2455127.82705,3.184,0.065,False,Cousins I,CCD,HQA,1.000,True
25,DEL CEP,000-BCQ-471,2455128.66379,5.057,0.037,False,Johnson B,CCD,HQA,1.000,True
26,DEL CEP,000-BCQ-471,2455128.66379,4.204,0.019,False,Johnson V,CCD,HQA,1.000,True
27,DEL CEP,000-BCQ-471,2455128.66379,3.792,0.024,False,Cousins R,CCD,HQA,1.000,True
28,DEL CEP,000-BCQ-471,2455128.66379,3.285,0.030,False,Cousins I,CCD,HQA,1.000,True
29,DEL CEP,000-BCQ-471,2455128.69306,4.200,0.016,False,Johnson V,CCD,HQA,1.000,True
30,DEL CEP,000-BCQ-471,2455128.69306,3.772,0.025,False,Cousins R,CCD,HQA,1.000,True
31,DEL CEP,000-BCQ-471,2455128.69306,3.311,0.036,False,Cousins I,CCD,HQA,1.000,True
32,DEL CEP,000-BCQ-471,2455128.69306,5.048,0.051,False,Johnson B,CCD,HQA,1.000,True
33,DEL CEP,000-BCQ-471,2455128.78562,5.098,0.056,False,Johnson B,CCD,HQA,1.000,True
34,DEL CEP,000-BCQ-471,2455128.78562,3.328,0.051,False,Cousins I,CCD,HQA,1.000,True
35,DEL CEP,000-BCQ-471,2455128.78562,4.230,0.028,False,Johnson V,CCD,HQA,1.000,True
36,DEL CEP,000-BCQ-471,2455128.78562,3.813,0.036,False,Cousins R,CCD,HQA,1.000,True
37,DEL CEP,000-BCQ-471,2455128.85247,3.306,0.089,False,Cousins I,CCD,HQA,1.000,True
38,DEL CEP,000-BCQ-471,2455128.85247,4.249,0.057,False,Johnson V,CCD,HQA,1.000,True
39,DEL CEP,000-BCQ-471,2455128.85247,5.112,0.081,False,Johnson B,CCD,HQA,1.000,True
40,DEL CEP,000-BCQ-471,2455128.85247,3.774,0.078,False,Cousins R,CCD,HQA,1.000,True
41,DELTA CEP,000-BCQ-471,2455129.399,4.23,0.06,False,Tri-Color Green,CCD,VOL,,False
42,DEL CEP,000-BCQ-471,2455129.69006,3.439,0.039,False,Cousins I,CCD,HQA,1.000,True
43,DEL CEP,000-BCQ-471,2455129.69006,5.193,0.024,False,Johnson B,CCD,HQA,1.000,True
44,DEL CEP,000-BCQ-471,2455129.69006,4.326,0.012,False,Johnson V,CCD,HQA,1.000,True
45,DEL CEP,000-BCQ-471,2455129.69006,3.934,0.021,False,Cousins R,CCD,HQA,1.000,True
46,DEL CEP,000-BCQ-471,2455129.72113,5.236,0.047,False,Johnson B,CCD,HQA,1.000,True
47,DEL CEP,000-BCQ-471,2455129.72113,3.462,0.089,False,Cousins I,CCD,HQA,1.000,True
48,DEL CEP,000-BCQ-471,2455129.72113,3.907,0.054,False,Cousins R,CCD,HQA,1.000,True
49,DEL CEP,000-BCQ-471,2455129.72113,4.349,0.039,False,Johnson V,CCD,HQA,1.000,True
50,DEL CEP,000-BCQ-471,2455129.78298,3.433,0.027,False,Cousins I,CCD,HQA,1.000,True
51,DEL CEP,000-BCQ-471,2455129.78298,3.897,0.019,False,Cousins R,CCD,HQA,1.000,True
52,DEL CEP,000-BCQ-471,2455129.78298,4.333,0.013,False,Johnson V,CCD,HQA,1.000,True
53,DEL CEP,000-BCQ-471,2455129.78298,5.188,0.027,False,Johnson B,CCD,HQA,1.000,True
54,DEL CEP,000-BCQ-471,2455129.85108,3.413,0.066,False,Cousins I,CCD,HQA,1.000,True
55,DEL CEP,000-BCQ-471,2455129.85108,3.908,0.062,False,Cousins R,CCD,HQA,1.000,True
56,DEL CEP,000-BCQ-471,2455129.85108,4.295,0.016,False,Johnson V,CCD,HQA,1.000,True
57,DEL CEP,000-BCQ-471,2455129.85108,5.149,0.029,False,Johnson B,CCD,HQA,1.000,True
58,DELTA CEP,000-BCQ-471,2455130.272,3.93,0.05,False,Tri-Color Green,CCD,VOL,,False
